id;nome_completo;email;telefone;telefone_secundario;telefone_emergencia;nome_contato_emergencia;cpf;sexo;data_nascimento;login;senha;perfil_solicitado;perfil_aprovado;status;observacoes;criado_em;atualizado_em
1;throughout;Isis.Moraes7@gmail.com;often;anenst;blink exalt describe;challenge;know midst;MASCULINO;2026-02-09;debit chops institute;superXXX;TESOURARIA;MEMBRO;PENDENTE;../fake-data/blob/hipster.txt;2026-02-09T09:32:45;2026-02-08T18:32:15
2;daintily;Heitor.Carvalho52@gmail.com;gah overcharge quizzically;which wombat;meh account neglect;gaseous leading frantically;minister oh;FEMININO;2026-02-09;whenever;yuck rightfully;PASTOR;PASTOR;APROVADO;../fake-data/blob/hipster.txt;2026-02-08T17:36:36;2026-02-08T17:40:34
3;newsprint between boo;Lara.Silva13@bol.com.br;navigate;within harvest;psst suspiciously;indeed past;contradict gee eek;OUTRO;2026-02-08;charm sarcastic divert;until verify knotty;SECRETARIA;ADMIN;PRIMEIROACESSO;../fake-data/blob/hipster.txt;2026-02-09T10:32:03;2026-02-09T03:53:38
4;responsible blind;Nicolas.Santos63@gmail.com;fill;self-assured flawed;coarse what;zowie versus tinted;machine;FEMININO;2026-02-09;option;rosin playfully;PASTOR;TESOURARIA;PENDENTE;../fake-data/blob/hipster.txt;2026-02-09T08:11:44;2026-02-09T00:33:08
5;rosy likewise;JulioCesar61@yahoo.com;gadzooks;trouser;downshift cavernous;heartache hmph;indeed guilty;NAO_INFORMADO;2026-02-09;insignificant railway jubilantly;far patroller once;SECRETARIA;PASTOR;PRIMEIROACESSO;../fake-data/blob/hipster.txt;2026-02-09T04:38:29;2026-02-09T01:54:34
6;speedily reiterate;Bernardo_Moraes76@gmail.com;epic on;wildly floodlight pleasure;rise tenderly;vibration inasmuch dwell;velocity out;FEMININO;2026-02-09;likewise mmm thoroughly;ordinary;LIDER;LIDER;PENDENTE;../fake-data/blob/hipster.txt;2026-02-09T16:44:58;2026-02-09T09:36:22
7;stall because;Rafaela37@gmail.com;lava;pfft ugh poppy;fluctuate discrete;sunbeam butter;towards;NAO_INFORMADO;2026-02-08;delicious;possession aw;MEMBRO;LIDER;PRIMEIROACESSO;../fake-data/blob/hipster.txt;2026-02-08T19:08:43;2026-02-09T09:24:57
8;abaft;Isis20@yahoo.com;bend;wherever;serpentine downshift;delirious horse;ravel inexperienced how;FEMININO;2026-02-09;cook readily upward;small ligate;LIDER;PASTOR;PRIMEIROACESSO;../fake-data/blob/hipster.txt;2026-02-09T12:27:31;2026-02-08T21:27:31
9;mentor;Silvia_Nogueira60@bol.com.br;preside;like;gosh blindly;unlawful than how;yearn instantly;NAO_INFORMADO;2026-02-08;yippee;federate yet optimal;VISITANTE;LIDER;REJEITADO;../fake-data/blob/hipster.txt;2026-02-09T15:01:15;2026-02-09T08:18:37
10;duh;Alessandro_Braga@bol.com.br;spellcheck lest;during;wherever across bell;upon;partially circa;OUTRO;2026-02-09;aw likely;uniform gadzooks saw;PASTOR;MEMBRO;PENDENTE;../fake-data/blob/hipster.txt;2026-02-09T11:01:17;2026-02-09T14:26:48
